participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS,CMA_consistency,CMA_counterfactual_CODE_GENDER,CMA_counterfactual_AGE,CMA_counterfactual_NAME_FAMILY_STATUS
5d9b4e21b56c51035c35cb3d,7,0.5,0.6744000000000001,0.872,0.8602340425531915,0.9375,0.6664749999999999,0.867375,0.8652765957446803,0.9340625
5d9b4e21b56c51035c35cb3d,8,0.5,0.6741,0.874,0.8565744680851052,0.931,0.6673222222222222,0.8681111111111111,0.8643096926713941,0.9337222222222223
5d9b4e21b56c51035c35cb3d,9,0.5,0.6605,0.864,0.8537446808510637,0.924,0.6666399999999999,0.8676999999999999,0.8632531914893612,0.9327500000000001
5d9b4e21b56c51035c35cb3d,10,0.5,0.6629,0.874,0.8580851063829779,0.94275,0.6663,0.8682727272727273,0.8627833655705991,0.9336590909090909
5d9b4e21b56c51035c35cb3d,11,0.5,0.6859,0.862,0.852276595744681,0.941,0.6679333333333334,0.86775,0.8619078014184391,0.9342708333333333
5d9b4e21b56c51035c35cb3d,12,0.5,0.6667000000000001,0.881,0.8628936170212764,0.93075,0.6678384615384616,0.8687692307692308,0.8619836333878882,0.9339999999999999
5d9b4e21b56c51035c35cb3d,13,0.5,0.6751,0.879,0.8673617021276594,0.93375,0.6683571428571428,0.8695,0.8623677811550147,0.9339821428571428
5d9b4e21b56c51035c35cb3d,14,0.5,0.6823999999999999,0.883,0.8539787234042554,0.93625,0.6692933333333334,0.8704,0.8618085106382974,0.9341333333333334
5d9b4e21b56c51035c35cb3d,15,0.5,0.6643000000000001,0.871,0.8569574468085105,0.932,0.66898125,0.8704375,0.8615053191489357,0.934
5d9b4e21b56c51035c35cb3d,16,0.5,0.6624,0.862,0.8455744680851062,0.93325,0.6685941176470588,0.8699411764705882,0.8605682102628281,0.9339558823529411
5d9b4e21b56c51035c35cb3d,17,0.5,0.6781,0.861,0.8323191489361691,0.9405,0.6691222222222222,0.8694444444444445,0.8589988179669026,0.9343194444444445
5d9b4e21b56c51035c35cb3d,18,0.5,0.6654,0.877,0.8474255319148933,0.93025,0.6689263157894737,0.869842105263158,0.8583896976483758,0.9341052631578948
5d9b4e21b56c51035c35cb3d,19,0.5,0.6719999999999999,0.889,0.864978723404255,0.91375,0.66908,0.8708,0.8587191489361696,0.9330875000000001
5d9b4e21b56c51035c35cb3d,20,0.5,0.6663,0.885,0.8529148936170207,0.91925,0.668947619047619,0.8714761904761904,0.858442755825734,0.9324285714285714
5d9b4e21b56c51035c35cb3d,21,0.5,0.6753,0.889,0.8617659574468077,0.91375,0.6692363636363636,0.8722727272727273,0.8585938104448737,0.9315795454545455
5fdb9ccbe6b281016f79a732,0,0.5,0.6855,0.865,0.8676170212765951,0.92975,0.6855,0.865,0.8676170212765951,0.92975
5fdb9ccbe6b281016f79a732,1,0.5,0.6698,0.862,0.8630425531914885,0.9405,0.67765,0.8634999999999999,0.8653297872340417,0.935125
5fdb9ccbe6b281016f79a732,2,0.5,0.6682,0.876,0.8482765957446807,0.93875,0.6745,0.8676666666666666,0.8596453900709214,0.9363333333333334
